date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2018-11-01,AT,58,26,24,7,12,0,31,77,79,61,76
2018-12-01,AT,64,30,25,6,13,0,30,90,80,93,90
2019-01-01,AT,63,34,26,6,14,0,36,74,79,58,92
2019-02-01,AT,61,29,24,8,14,0,32,77,85,62,87
2019-03-01,AT,63,29,24,10,13,0,30,79,86,67,86
2019-04-01,AT,61,25,23,5,15,0,31,78,83,66,90
2019-05-01,AT,65,30,31,11,18,0,29,74,81,70,90
2019-06-01,AT,69,36,27,13,18,0,32,76,87,74,88
2019-07-01,AT,78,32,29,11,12,0,34,78,91,74,94
2019-08-01,AT,80,33,28,9,14,0,40,79,96,68,93
2019-09-01,AT,71,30,26,10,13,0,39,78,84,63,80
2019-10-01,AT,66,28,23,9,12,0,35,80,84,69,87
2019-11-01,AT,63,27,23,11,14,0,32,84,86,69,86
2019-12-01,AT,70,30,25,8,10,0,36,95,89,88,91
2020-01-01,AT,64,34,24,13,15,0,37,81,86,65,95
2020-02-01,AT,72,31,26,10,16,0,32,80,92,66,88
2020-03-01,AT,100,34,28,5,11,0,28,95,64,89,85
2020-04-01,AT,60,22,17,5,11,0,18,97,65,81,100
2020-05-01,AT,62,22,19,7,10,0,15,92,73,70,90
2020-06-01,AT,60,24,22,8,14,0,19,87,86,70,86
2020-07-01,AT,77,38,32,7,13,0,24,86,95,77,90
2020-08-01,AT,86,31,32,9,17,0,57,85,94,72,90
2020-09-01,AT,82,27,26,7,14,0,18,85,85,66,81
2020-10-01,AT,78,25,21,6,13,0,22,88,77,68,83
2020-11-01,AT,66,27,11,5,9,0,36,92,66,70,83
2020-12-01,AT,64,21,10,3,8,0,16,100,61,100,86
2021-01-01,AT,58,20,11,5,8,0,15,88,60,76,87
2021-02-01,AT,73,20,10,6,9,0,15,85,61,66,81
2021-03-01,AT,79,21,11,6,10,0,14,83,58,73,76
2021-04-01,AT,57,19,10,5,7,0,18,84,60,75,77
2021-05-01,AT,62,20,12,5,10,0,22,85,80,71,90
2021-06-01,AT,67,100,20,9,11,0,21,75,84,69,79
2021-07-01,AT,73,31,19,9,13,0,24,80,97,72,86
2021-08-01,AT,82,28,22,7,15,0,28,78,100,66,93
2021-09-01,AT,64,26,18,7,13,0,28,79,89,61,80
2021-10-01,AT,62,26,16,6,12,0,26,83,90,62,80
2021-11-01,AT,74,42,17,6,11,0,33,82,73,68,70
2021-12-01,AT,70,31,15,5,9,0,23,84,65,86,74
2022-01-01,AT,69,31,15,6,13,0,28,85,73,62,81
2022-02-01,AT,66,29,16,7,13,0,26,82,80,60,82
2022-03-01,AT,75,30,14,6,11,0,22,74,73,59,73
2022-04-01,AT,62,25,16,7,15,0,24,80,79,64,76
2022-05-01,AT,64,23,18,8,10,0,26,77,77,62,75
2022-06-01,AT,69,38,20,5,11,0,27,74,79,69,76
2022-07-01,AT,79,42,23,10,17,0,32,80,86,70,85
2022-08-01,AT,75,29,23,9,14,0,35,79,88,65,79
2022-09-01,AT,66,31,20,6,13,0,30,73,74,60,71
2022-10-01,AT,72,31,19,7,12,0,45,78,81,62,73
2022-11-01,AT,63,36,17,6,13,0,26,76,74,60,70
2022-12-01,AT,63,27,19,6,12,0,27,88,79,83,81
2023-01-01,AT,67,30,18,7,15,0,28,82,76,58,77
2023-02-01,AT,68,27,17,8,11,0,27,76,77,59,76
2023-03-01,AT,66,26,16,7,12,0,21,77,76,58,72
2023-04-01,AT,75,25,17,6,14,0,26,82,78,65,77
2004-01-01,BE,44,0,86,49,100,82,0,77,75,54,42
2004-02-01,BE,52,0,85,42,0,0,0,77,86,51,50
2004-03-01,BE,57,0,61,47,0,0,0,72,76,51,43
2004-04-01,BE,78,0,76,78,40,0,0,70,78,53,55
2004-05-01,BE,71,0,72,36,0,0,0,78,81,56,53
2004-06-01,BE,83,0,48,0,26,100,0,73,72,58,40
2004-07-01,BE,100,0,63,100,67,53,0,68,81,49,43
2004-08-01,BE,90,0,63,59,0,0,0,75,75,53,44
2004-09-01,BE,52,0,60,91,26,0,0,75,80,59,44
2004-10-01,BE,45,0,67,39,44,34,0,86,77,71,43
2004-11-01,BE,46,0,53,0,0,0,0,91,89,82,53
2004-12-01,BE,35,0,45,52,24,0,0,100,83,100,49
2005-01-01,BE,27,0,50,26,56,30,0,80,89,73,51
2005-02-01,BE,41,0,47,47,23,0,0,86,100,65,59
2005-03-01,BE,46,0,49,36,40,21,0,77,83,81,58
2005-04-01,BE,46,0,29,0,70,0,0,77,83,75,55
2005-05-01,BE,45,0,43,29,43,24,0,75,81,70,50
2005-06-01,BE,42,0,64,0,45,97,0,75,82,75,47
2005-07-01,BE,54,0,46,67,19,22,0,71,82,63,52
2005-08-01,BE,44,0,42,55,36,31,0,77,87,63,56
2005-09-01,BE,35,0,56,25,45,0,0,73,80,67,49
2005-10-01,BE,42,0,50,25,0,0,0,78,83,76,46
2005-11-01,BE,35,0,47,0,0,32,0,86,88,84,58
