month_end,geo,yhat,fourier_order,bic,aicc,sigma2,loglik,rmse,mae,acf
2022-11-01,ES,20100632.445840158,6,-2323.7998106011432,-2381.9666374846424,1.221933828641025e-4,1206.6267503777099,0.16490278292259897,0.08291151553807648,-0.4165438991942968
2022-08-01,FI,2204268.246120772,6,-2517.813199768613,-2576.021978395575,7.564278028167648e-5,1303.652700427734,0.11539361277778451,0.062128591674337715,0.006745102559766089
2022-09-01,FI,1471376.5392202397,6,-2517.813199768613,-2576.021978395575,7.564278028167648e-5,1303.652700427734,0.11539361277778451,0.062128591674337715,0.006745102559766089
2022-10-01,FI,1279311.2953750505,6,-2517.813199768613,-2576.021978395575,7.564278028167648e-5,1303.652700427734,0.11539361277778451,0.062128591674337715,0.006745102559766089
2022-11-01,FI,1180439.3886314908,6,-2517.813199768613,-2576.021978395575,7.564278028167648e-5,1303.652700427734,0.11539361277778451,0.062128591674337715,0.006745102559766089
2022-08-01,FR,46793638.54237852,6,-747.9387564706224,-789.5161963298274,2.649192536247031e-4,411.5491429410331,0.2435798712380109,0.12558286362676765,-0.00312756650244087
2022-09-01,FR,24275383.679982994,6,-747.9387564706224,-789.5161963298274,2.649192536247031e-4,411.5491429410331,0.2435798712380109,0.12558286362676765,-0.00312756650244087
2022-10-01,FR,17523395.62316172,6,-747.9387564706224,-789.5161963298274,2.649192536247031e-4,411.5491429410331,0.2435798712380109,0.12558286362676765,-0.00312756650244087
2022-11-01,FR,11737880.058732726,6,-747.9387564706224,-789.5161963298274,2.649192536247031e-4,411.5491429410331,0.2435798712380109,0.12558286362676765,-0.00312756650244087
2022-08-01,HR,25915942.550647885,6,-1059.7287406421556,-1109.3567225101358,4.7228988610928364e-4,570.7792786862606,0.26995973466071876,0.1449952188839821,-0.010142653864271366
2022-09-01,HR,9689784.401703691,6,-1059.7287406421556,-1109.3567225101358,4.7228988610928364e-4,570.7792786862606,0.26995973466071876,0.1449952188839821,-0.010142653864271366
2022-10-01,HR,2473023.830086065,6,-1059.7287406421556,-1109.3567225101358,4.7228988610928364e-4,570.7792786862606,0.26995973466071876,0.1449952188839821,-0.010142653864271366
2022-11-01,HR,690546.8933109859,6,-1059.7287406421556,-1109.3567225101358,4.7228988610928364e-4,570.7792786862606,0.26995973466071876,0.1449952188839821,-0.010142653864271366
2022-08-01,HU,4030584.8703669887,5,-1351.6626756415835,-1399.6757147687576,2.4150892177857088e-4,714.702054915243,0.19795664080977732,0.10145431085982742,0.030963069658747577
2022-09-01,HU,2134217.191109436,5,-1351.6626756415835,-1399.6757147687576,2.4150892177857088e-4,714.702054915243,0.19795664080977732,0.10145431085982742,0.030963069658747577
2022-10-01,HU,1844559.3192232803,5,-1351.6626756415835,-1399.6757147687576,2.4150892177857088e-4,714.702054915243,0.19795664080977732,0.10145431085982742,0.030963069658747577
2022-11-01,HU,1374132.8783768802,5,-1351.6626756415835,-1399.6757147687576,2.4150892177857088e-4,714.702054915243,0.19795664080977732,0.10145431085982742,0.030963069658747577
2022-08-01,IT,74267445.5295212,6,-2523.9950092441777,-2582.20378787114,7.453213405904242e-5,1306.7436051655166,0.137464364928017,0.08090310320320909,-0.05018344483149962
2022-09-01,IT,35061397.48312474,6,-2523.9950092441777,-2582.20378787114,7.453213405904242e-5,1306.7436051655166,0.137464364928017,0.08090310320320909,-0.05018344483149962
2022-10-01,IT,18703077.131729174,6,-2523.9950092441777,-2582.20378787114,7.453213405904242e-5,1306.7436051655166,0.137464364928017,0.08090310320320909,-0.05018344483149962
2022-11-01,IT,10676628.369270576,6,-2523.9950092441777,-2582.20378787114,7.453213405904242e-5,1306.7436051655166,0.137464364928017,0.08090310320320909,-0.05018344483149962
2022-08-01,LT,1094133.553372684,5,-1278.9777713249407,-1324.586269163906,1.3893240210070102e-4,677.3076273355763,0.13960905745962146,0.08163406697235114,0.017247938908020784
2022-09-01,LT,656018.0558646772,5,-1278.9777713249407,-1324.586269163906,1.3893240210070102e-4,677.3076273355763,0.13960905745962146,0.08163406697235114,0.017247938908020784
2022-10-01,LT,529094.0919404476,5,-1278.9777713249407,-1324.586269163906,1.3893240210070102e-4,677.3076273355763,0.13960905745962146,0.08163406697235114,0.017247938908020784
2022-11-01,LT,441302.1144516018,5,-1278.9777713249407,-1324.586269163906,1.3893240210070102e-4,677.3076273355763,0.13960905745962146,0.08163406697235114,0.017247938908020784
2022-08-01,LU,412627.80093172134,5,-1955.5222947987502,-2013.7729081985308,3.244209590961117e-4,1022.5264540992654,0.1950294576911173,0.11184315108787467,0.007329251428910407
2022-09-01,LU,191703.34685370058,5,-1955.5222947987502,-2013.7729081985308,3.244209590961117e-4,1022.5264540992654,0.1950294576911173,0.11184315108787467,0.007329251428910407
2022-10-01,LU,167993.2887557664,5,-1955.5222947987502,-2013.7729081985308,3.244209590961117e-4,1022.5264540992654,0.1950294576911173,0.11184315108787467,0.007329251428910407
2022-11-01,LU,121156.02510092477,5,-1955.5222947987502,-2013.7729081985308,3.244209590961117e-4,1022.5264540992654,0.1950294576911173,0.11184315108787467,0.007329251428910407
2022-08-01,LV,559877.9920917889,6,-1386.6989399102845,-1442.6060655380322,1.1224003889637466e-4,739.7196994356827,0.12204594720641931,0.07128728019520442,0.03026345181165125
2022-09-01,LV,332099.3553781351,6,-1386.6989399102845,-1442.6060655380322,1.1224003889637466e-4,739.7196994356827,0.12204594720641931,0.07128728019520442,0.03026345181165125
2022-10-01,LV,290852.29342020483,6,-1386.6989399102845,-1442.6060655380322,1.1224003889637466e-4,739.7196994356827,0.12204594720641931,0.07128728019520442,0.03026345181165125
2022-11-01,LV,246179.42848690017,6,-1386.6989399102845,-1442.6060655380322,1.1224003889637466e-4,739.7196994356827,0.12204594720641931,0.07128728019520442,0.03026345181165125
2022-08-01,MT,944296.8948992491,5,-602.840226886539,-641.8780098927755,7.18330170708423e-4,336.4945605019433,0.28959622305818206,0.14156780056949833,0.03326070829095988
2022-09-01,MT,789863.6696524177,5,-602.840226886539,-641.8780098927755,7.18330170708423e-4,336.4945605019433,0.28959622305818206,0.14156780056949833,0.03326070829095988
2022-10-01,MT,776207.115808451,5,-602.840226886539,-641.8780098927755,7.18330170708423e-4,336.4945605019433,0.28959622305818206,0.14156780056949833,0.03326070829095988
2022-11-01,MT,544531.7996035754,5,-602.840226886539,-641.8780098927755,7.18330170708423e-4,336.4945605019433,0.28959622305818206,0.14156780056949833,0.03326070829095988
2022-08-01,NL,20884431.565227777,6,-2473.4324252576653,-2535.43232804343,8.355087577541974e-5,1284.4453865418222,0.1375264609120645,0.08472818215857263,-0.04749179519277765
2022-09-01,NL,10368148.268774865,6,-2473.4324252576653,-2535.43232804343,8.355087577541974e-5,1284.4453865418222,0.1375264609120645,0.08472818215857263,-0.04749179519277765
2022-10-01,NL,9451757.897434447,6,-2473.4324252576653,-2535.43232804343,8.355087577541974e-5,1284.4453865418222,0.1375264609120645,0.08472818215857263,-0.04749179519277765
2022-11-01,NL,5901665.926158194,6,-2473.4324252576653,-2535.43232804343,8.355087577541974e-5,1284.4453865418222,0.1375264609120645,0.08472818215857263,-0.04749179519277765
2022-08-01,PL,12188218.207557447,5,-1298.5993432680552,-1345.056030663885,1.7352329609555625e-4,687.4869194415315,0.18100246969169215,0.08813390117991465,0.035834788278085374
2022-09-01,PL,7450737.581230923,5,-1298.5993432680552,-1345.056030663885,1.7352329609555625e-4,687.4869194415315,0.18100246969169215,0.08813390117991465,0.035834788278085374
2022-10-01,PL,6099286.445643966,5,-1298.5993432680552,-1345.056030663885,1.7352329609555625e-4,687.4869194415315,0.18100246969169215,0.08813390117991465,0.035834788278085374
2022-11-01,PL,4705469.338472012,5,-1298.5993432680552,-1345.056030663885,1.7352329609555625e-4,687.4869194415315,0.18100246969169215,0.08813390117991465,0.035834788278085374
2022-08-01,PT,11776450.040702298,6,-2220.3766573877647,-2278.585436014727,1.6205278405932085e-4,1154.93442923731,0.17068116667332386,0.07616882765688174,0.023888036585379867
2022-09-01,PT,6530353.808938027,6,-2220.3766573877647,-2278.585436014727,1.6205278405932085e-4,1154.93442923731,0.17068116667332386,0.07616882765688174,0.023888036585379867
2022-10-01,PT,4448280.362788022,6,-2220.3766573877647,-2278.585436014727,1.6205278405932085e-4,1154.93442923731,0.17068116667332386,0.07616882765688174,0.023888036585379867
2022-11-01,PT,2615754.655269106,6,-2220.3766573877647,-2278.585436014727,1.6205278405932085e-4,1154.93442923731,0.17068116667332386,0.07616882765688174,0.023888036585379867
2022-08-01,RO,3924590.3233238338,6,-1317.9614724900007,-1371.746468484744,2.0810171899528207e-4,703.0558429380242,0.17737107529602847,0.10200648405836694,0.012645638894635231
2022-09-01,RO,2050537.5171905952,6,-1317.9614724900007,-1371.746468484744,2.0810171899528207e-4,703.0558429380242,0.17737107529602847,0.10200648405836694,0.012645638894635231
2022-10-01,RO,1560336.5895336666,6,-1317.9614724900007,-1371.746468484744,2.0810171899528207e-4,703.0558429380242,0.17737107529602847,0.10200648405836694,0.012645638894635231
2022-11-01,RO,1317037.7684836437,6,-1317.9614724900007,-1371.746468484744,2.0810171899528207e-4,703.0558429380242,0.17737107529602847,0.10200648405836694,0.012645638894635231
2022-07-01,SE,10904584.472738063,6,-2629.1865639485873,-2702.4349508811315,5.29128798257713e-5,1371.2472857386688,0.1053206243520789,0.07401599639853196,0.029721569461893978
2022-08-01,SE,6213020.887110696,6,-2629.1865639485873,-2702.4349508811315,5.29128798257713e-5,1371.2472857386688,0.1053206243520789,0.07401599639853196,0.029721569461893978
2022-09-01,SE,3445754.051670725,6,-2629.1865639485873,-2702.4349508811315,5.29128798257713e-5,1371.2472857386688,0.1053206243520789,0.07401599639853196,0.029721569461893978
2022-10-01,SE,3375820.452164471,6,-2629.1865639485873,-2702.4349508811315,5.29128798257713e-5,1371.2472857386688,0.1053206243520789,0.07401599639853196,0.029721569461893978
2022-08-01,SI,2184355.639562791,6,-1224.2888257196414,-1276.3753913250894,4.8226941862107743e-4,654.1325775523085,0.2477765363005469,0.12609677839334435,0.045782008560153235
2022-09-01,SI,1076332.8111951896,6,-1224.2888257196414,-1276.3753913250894,4.8226941862107743e-4,654.1325775523085,0.2477765363005469,0.12609677839334435,0.045782008560153235
2022-10-01,SI,729259.9946831716,6,-1224.2888257196414,-1276.3753913250894,4.8226941862107743e-4,654.1325775523085,0.2477765363005469,0.12609677839334435,0.045782008560153235
2022-11-01,SI,470159.66314151976,6,-1224.2888257196414,-1276.3753913250894,4.8226941862107743e-4,654.1325775523085,0.2477765363005469,0.12609677839334435,0.045782008560153235
2022-08-01,SK,1698536.0464626323,6,-1130.4199283597757,-1180.1219302500203,3.562233492970602e-4,606.156855535969,0.22166000613634884,0.10201027297503643,0.06329125703087443
2022-09-01,SK,1064774.8972167254,6,-1130.4199283597757,-1180.1219302500203,3.562233492970602e-4,606.156855535969,0.22166000613634884,0.10201027297503643,0.06329125703087443
2022-10-01,SK,890953.530460463,6,-1130.4199283597757,-1180.1219302500203,3.562233492970602e-4,606.156855535969,0.22166000613634884,0.10201027297503643,0.06329125703087443
2022-11-01,SK,688776.5422166724,6,-1130.4199283597757,-1180.1219302500203,3.562233492970602e-4,606.156855535969,0.22166000613634884,0.10201027297503643,0.06329125703087443
